FY0 1YS,333634,429165
FY1 1AA,330862,436347
FY1 1AD,330862,436347
FY1 1AN,330648,436571
FY1 1BA,330918,436383
FY1 1BB,330862,436347
FY1 1BH,330938,436340
FY1 1BN,330879,436441
FY1 1BP,330961,436297
FY1 1DA,330841,436376
FY1 1DD,330862,436347
FY1 1DE,330887,436310
FY1 1DG,330822,436296
FY1 1DH,330794,436402
FY1 1DL,330794,436402
FY1 1DR,330869,436277
FY1 1DU,330761,436296
FY1 1DW,330791,436326
FY1 1DX,330862,436347
FY1 1EG,330771,436258
FY1 1EJ,330728,436230
FY1 1EL,330862,436347
FY1 1EN,330727,436247
FY1 1EP,330680,436231
FY1 1EQ,330862,436347
FY1 1ER,330862,436347
FY1 1ET,330624,436312
FY1 1EW,330666,436205
FY1 1EX,330632,436222
FY1 1EZ,330614,436233
FY1 1GB,330862,436347
FY1 1GG,330862,436347
FY1 1GT,330862,436347
FY1 1GU,330862,436347
FY1 1HA,330619,436256
FY1 1HB,330604,436250
FY1 1HE,330596,436258
FY1 1HH,330613,436212
FY1 1HJ,330685,436163
FY1 1HP,330774,436227
FY1 1HQ,330801,436518
FY1 1HT,330749,436175
FY1 1HU,330921,436225
FY1 1HW,330892,436161
FY1 1HZ,331004,436226
FY1 1JA,330984,436270
FY1 1JD,330745,436330
FY1 1JP,330783,436369
FY1 1JQ,330791,436326
FY1 1JY,330783,436325
FY1 1LB,330727,436442
FY1 1LE,330654,436393
FY1 1LF,330754,436402
FY1 1LJ,330773,436296
FY1 1LL,330842,436490
FY1 1LR,330862,436459
FY1 1LY,330696,436333
FY1 1NA,330862,436347
FY1 1NB,330862,436347
FY1 1NE,330532,436372
FY1 1NF,330862,436347
FY1 1NG,330618,436397
FY1 1NH,330766,436480
FY1 1NL,330731,436477
FY1 1NQ,330862,436347
FY1 1PD,330705,436507
FY1 1PE,330680,436493
FY1 1PP,330724,436543
FY1 1PU,330840,436529
FY1 1PW,330862,436347
FY1 1PX,330771,436548
FY1 1PY,330887,436310
