TF1 1AA,364963,311493
TF1 1BA,364928,311461
TF1 1BD,365019,311498
TF1 1BE,365022,311512
TF1 1BJ,365043,311552
TF1 1BN,364801,311639
TF1 1BP,365041,311610
TF1 1BU,365074,311605
TF1 1BW,365034,311572
TF1 1BX,365011,311687
TF1 1BY,365167,311634
TF1 1BZ,365056,311633
TF1 1DA,365050,311842
TF1 1DB,365060,311583
TF1 1DD,365008,311707
TF1 1DG,365057,311772
TF1 1DN,365077,311746
TF1 1DQ,365027,311747
TF1 1DR,365056,311821
TF1 1DS,365076,311837
TF1 1DT,364964,311590
TF1 1DZ,364901,311516
TF1 1EA,364810,311733
TF1 1EB,364848,311691
TF1 1ED,364838,311542
TF1 1EG,364882,311691
TF1 1EH,364887,311732
TF1 1EL,364917,311828
TF1 1EP,364903,311840
TF1 1ER,364971,311758
TF1 1ES,364927,311782
TF1 1ET,365124,311826
TF1 1EW,364924,311766
TF1 1EZ,365132,311869
TF1 1HA,365036,311878
TF1 1HB,364872,311862
TF1 1HE,365105,311415
TF1 1HJ,365112,311464
TF1 1HL,365116,311274
TF1 1HQ,365017,311645
TF1 1HR,365108,311195
TF1 1HS,365192,311171
TF1 1HT,365183,311074
TF1 1HU,365317,311164
TF1 1HW,365159,311242
TF1 1HX,365365,311045
TF1 1HY,365334,311023
TF1 1HZ,365302,311057
TF1 1JA,365437,311136
TF1 1JB,365456,311037
TF1 1JD,365532,311060
TF1 1JE,365575,311058
TF1 1JF,365620,311120
TF1 1JG,365698,311083
TF1 1JH,365470,311217
TF1 1JJ,365427,311283
TF1 1JL,365442,311312
TF1 1JN,365377,311361
TF1 1JP,365289,311356
TF1 1JQ,365670,311033
TF1 1JR,365414,311451
TF1 1JS,365414,311478
TF1 1JT,365443,311374
TF1 1JU,365548,311247
TF1 1JW,365381,311432
TF1 1JX,365516,311173
TF1 1JY,365420,311247
TF1 1JZ,365321,311363
TF1 1LE,365422,311193
TF1 1LG,365166,311352
TF1 1LH,365391,311277
TF1 1LJ,365365,311336
TF1 1LL,365351,311395
TF1 1LN,365475,311326
TF1 1LP,365082,311551
TF1 1LQ,365193,311268
TF1 1LS,365089,311549
TF1 1LT,365210,311366
TF1 1LU,365162,311570
TF1 1LW,365565,311303
TF1 1LX,365053,311367
TF1 1LZ,365487,311347
TF1 1ND,365146,311525
TF1 1NE,365165,311533
TF1 1NF,364677,311344
TF1 1NH,365333,311586
TF1 1NJ,365439,311585
TF1 1NL,365383,311661
TF1 1NN,365412,311540
TF1 1NP,365411,311505
TF1 1NQ,365320,311410
TF1 1NR,365466,311558
TF1 1NS,365395,311678
TF1 1NT,366134,311098
TF1 1NU,365525,311522
TF1 1NW,365230,311510
TF1 1NX,365559,311471
TF1 1NY,365697,311344
TF1 1NZ,365528,311447
TF1 1PA,365547,311331
TF1 1PB,365558,311493
TF1 1PD,365582,311528
TF1 1PE,365687,311468
TF1 1PF,365841,311287
TF1 1PG,365985,311198
TF1 1PH,366130,311257
TF1 1PJ,365710,311244
TF1 1PL,366073,311277
TF1 1PN,366046,311233
TF1 1PP,365982,311306
TF1 1PQ,366041,311137
TF1 1PR,365820,311442
TF1 1PS,365245,311571
TF1 1PT,365791,311537
TF1 1PU,365986,311355
TF1 1PW,365962,311364
TF1 1PX,365989,311421
TF1 1PY,365168,311586
TF1 1PZ,365345,311476
TF1 1QA,364776,311428
TF1 1QE,364658,311424
TF1 1QF,364841,311317
TF1 1QG,364683,311463
TF1 1QH,364549,311394
TF1 1QL,364485,311349
TF1 1QN,364560,311263
TF1 1QP,364562,311252
TF1 1QQ,364614,311402
TF1 1QR,364674,311187
TF1 1QS,364696,311271
TF1 1QT,364677,311295
TF1 1QU,364615,311235
TF1 1QX,364793,311365
TF1 1QY,364805,311307
TF1 1QZ,364937,311370
TF1 1RA,364923,311185
TF1 1RB,364531,311352
TF1 1RD,364848,311180
TF1 1RE,364925,311120
TF1 1RF,364928,311096
TF1 1RG,364919,311074
TF1 1RH,364978,311233
TF1 1RJ,364997,311091
TF1 1RL,364998,310934
TF1 1RN,365050,311105
TF1 1RP,364653,311799
TF1 1RQ,364941,311071
TF1 1RR,364911,310932
TF1 1RS,364709,311418
TF1 1RT,365810,311400
TF1 1RW,365640,311185
TF1 1RX,365623,311234
TF1 1RY,364808,311792
TF1 1RZ,365693,311202
TF1 1SA,365860,311194
TF1 1SB,365784,311238
TF1 1SD,365788,311102
TF1 1SE,364818,311952
TF1 1SF,364714,311903
TF1 1SG,364874,311463
TF1 1SH,365292,311220
TF1 1SJ,365952,311265
TF1 1SL,365247,311289
TF1 1SN,365028,311725
TF1 1SP,365725,311171
TF1 1SQ,365339,311241
TF1 1SR,364805,311369
TF1 1SS,365324,311464
TF1 1ST,364963,311493
TF1 1SW,365195,311516
TF1 1WB,364963,311493
TF1 1WE,364963,311493
TF1 1WQ,364963,311493
TF1 1WS,364963,311493
TF1 1WW,364963,311493
TF1 1XU,364963,311493
TF1 1YE,364963,311493
TF1 1YU,365042,311228
TF1 1YX,365076,311246
TF1 1YY,365065,311271
TF1 1YZ,365027,311251
TF1 1ZU,364963,311493
TF1 1ZW,364963,311493
TF1 2AA,364245,311710
TF1 2AB,366050,310978
TF1 2AE,364224,311736
TF1 2AF,364346,311727
TF1 2AG,364205,311666
TF1 2AH,364359,311683
TF1 2AJ,364409,311651
TF1 2AL,364450,311582
TF1 2AN,364305,311597
TF1 2AP,364225,311535
TF1 2AQ,364292,311664
TF1 2AR,364144,311464
TF1 2AS,364313,311527
TF1 2AT,364336,311446
TF1 2AU,364322,311405
TF1 2AW,364316,311562
TF1 2AX,364446,311494
TF1 2AY,364440,311416
TF1 2AZ,364366,311384
TF1 2BA,364245,311351
TF1 2BB,364269,311328
TF1 2BD,364401,311319
TF1 2BE,364145,311536
TF1 2BF,364544,311491
TF1 2BG,364292,311848
TF1 2BH,364530,311168
TF1 2BJ,364423,311196
TF1 2BL,364312,311247
TF1 2BN,364336,311108
TF1 2BP,364347,310928
